# energy,pi_pi_pi0,pi_pi,mu_mu
4.766644463465738e+00,4.897624583612565e-03,1.075346605399012e-04,5.702848337336832e-07
4.855442236675535e+00,5.054031607960424e-03,1.104707188472234e-04,5.831577107057968e-07
4.945894222736207e+00,5.214739348922943e-03,1.134541164563773e-04,5.960265898825299e-07
5.038031237962817e+00,5.379819523062751e-03,1.164830426304973e-04,6.088635321626433e-07
5.131884672747257e+00,5.549341419053866e-03,1.195554140917993e-04,6.216379656536123e-07
5.227486502252727e+00,5.723371514603203e-03,1.226688531325124e-04,6.343164965869849e-07
5.324869297307429e+00,5.901973062354151e-03,1.258206642399434e-04,6.468627079946386e-07
5.424066235501205e+00,6.085205642660018e-03,1.290078091420677e-04,6.592369453936889e-07
5.525111112488896e+00,6.273124680981795e-03,1.322268801743696e-04,6.713960886828884e-07
5.628038353504267e+00,6.465780927523397e-03,1.354740718626500e-04,6.832933094058260e-07
5.732883025088425e+00,6.663219896567547e-03,1.387451506101666e-04,6.948778124858804e-07
5.839680847036732e+00,6.865481262816567e-03,1.420354223707271e-04,7.060945614846118e-07
5.948468204568268e+00,7.072598211873739e-03,1.453396981822343e-04,7.168839863788683e-07
6.059282160722004e+00,7.284596741822098e-03,1.486522574276211e-04,7.271816727921904e-07
6.172160468983903e+00,7.501494912668162e-03,1.519668086821190e-04,7.369180315528990e-07
6.287141586149251e+00,7.723302040217012e-03,1.552764479973329e-04,7.460179473844090e-07
6.404264685424595e+00,7.950017830732284e-03,1.585736144636265e-04,7.544004054625688e-07
6.523569669773766e+00,8.181631452508890e-03,1.618500428828310e-04,7.619780945000788e-07
6.645097185512522e+00,8.418120540246833e-03,1.650967133732314e-04,7.686569849391950e-07
6.768888636156435e+00,8.659450127861045e-03,1.683037977181528e-04,7.743358807513600e-07
6.894986196526762e+00,8.905571505093208e-03,1.714606022582078e-04,7.789059432583978e-07
7.023432827119114e+00,9.156420993006823e-03,1.745555071153860e-04,7.822501853182755e-07
7.154272288739735e+00,9.411918633144592e-03,1.775759015247238e-04,7.842429342965128e-07
7.287549157414506e+00,9.671966784807745e-03,1.805081150371551e-04,7.847690999986201e-07
7.423308839575661e+00,9.936448624577605e-03,1.833374648971049e-04,7.847377980072109e-07
7.561597587531419e+00,1.020522654184067e-02,1.860539878490102e-04,7.847053307186975e-07
